Size Category,Metric,Mean,Std,Count
Very Small,dice,0.9647277825466083,0.04191064224180995,66
Very Small,iou,0.9346869137236392,0.070116282303305,66
Very Small,hausdorff,0.8333333333333334,0.41132945334843113,66
Small,dice,0.983661110116926,0.012475481100460529,69
Small,iou,0.9681385947543236,0.02371579185824203,69
Small,hausdorff,0.9130434782608695,0.2817713347133852,69
Medium,dice,0.9921454336516947,0.0033563209161109418,22
Medium,iou,0.9844352683599443,0.006598609179474652,22
Medium,hausdorff,1.0,0.0,22
Large,dice,0.9958564667713056,0.0011547637612384371,5
Large,iou,0.9917497624841847,0.002289487632299943,5
Large,hausdorff,1.0,0.0,5
